x,y,z,0,1,2,0,1,2,3,4,5,6,7,8,success
0.0,-175.0,120.0,90.0,115.25946807861328,35.70170974731445,0.0,-25.25946617126465,10.442245483398438,-25.25946617126465,-25.25946617126465,-35.70170974731445,10.442245483398438,-35.70170974731445,-35.70170974731445,1.0
0.0,-175.0,125.0,90.0,113.96788024902344,33.78443145751953,0.0,-23.96788215637207,9.816548347473145,-23.96788215637207,-23.96788215637207,-33.78443145751953,9.816548347473145,-33.78443145751953,-33.78443145751953,1.0
0.0,-175.0,130.0,90.0,112.7420425415039,31.85219955444336,0.0,-22.742042541503906,9.110156059265137,-22.742042541503906,-22.742042541503906,-31.85219955444336,9.110156059265137,-31.85219955444336,-31.85219955444336,1.0
0.0,-175.0,135.0,90.0,111.58362579345703,29.907085418701172,0.0,-21.583627700805664,8.323456764221191,-21.583627700805664,-21.583627700805664,-29.907085418701172,8.323456764221191,-29.907085418701172,-29.907085418701172,1.0
0.0,-175.0,140.0,90.0,110.4941177368164,27.950925827026367,0.0,-20.49411964416504,7.45680570602417,-20.49411964416504,-20.49411964416504,-27.950925827026367,7.45680570602417,-27.950925827026367,-27.950925827026367,1.0
0.0,-175.0,145.0,90.0,109.47480773925781,25.985315322875977,0.0,-19.474811553955078,6.510503768920898,-19.474811553955078,-19.474811553955078,-25.985315322875977,6.510503768920898,-25.985315322875977,-25.985315322875977,1.0
0.0,-175.0,150.0,90.0,108.52681732177734,24.01158905029297,0.0,-18.526817321777344,5.484772205352783,-18.526817321777344,-18.526817321777344,-24.01158905029297,5.484772205352783,-24.01158905029297,-24.01158905029297,1.0
0.0,-175.0,155.0,90.0,107.6511001586914,22.030824661254883,0.0,-17.65109634399414,4.379727840423584,-17.65109634399414,-17.65109634399414,-22.030824661254883,4.379727840423584,-22.030824661254883,-22.030824661254883,1.0
0.0,-175.0,160.0,90.0,106.84847259521484,20.043825149536133,0.0,-16.848472595214844,3.19535231590271,-16.848472595214844,-16.848472595214844,-20.043825149536133,3.19535231590271,-20.043825149536133,-20.043825149536133,1.0
0.0,-175.0,165.0,90.0,106.11965942382812,18.051118850708008,0.0,-16.119657516479492,1.9314621686935425,-16.119657516479492,-16.119657516479492,-18.051118850708008,1.9314621686935425,-18.051118850708008,-18.051118850708008,1.0
0.0,-175.0,170.0,90.0,105.46528625488281,16.052959442138672,0.0,-15.465285301208496,0.5876745581626892,-15.465285301208496,-15.465285301208496,-16.052959442138672,0.5876745581626892,-16.052959442138672,-16.052959442138672,1.0
0.0,-175.0,175.0,90.0,104.88594055175781,14.049311637878418,0.0,-14.885941505432129,-0.8366298675537109,-14.885941505432129,-14.885941505432129,-14.049311637878418,-0.8366298675537109,-14.049311637878418,-14.049311637878418,1.0
0.0,-175.0,180.0,90.0,104.38219451904297,12.039846420288086,0.0,-14.382195472717285,-2.3423492908477783,-14.382195472717285,-14.382195472717285,-12.039846420288086,-2.3423492908477783,-12.039846420288086,-12.039846420288086,1.0
0.0,-175.0,185.0,90.0,103.95464324951172,10.023937225341797,0.0,-13.954646110534668,-3.930708169937134,-13.954646110534668,-13.954646110534668,-10.023937225341797,-3.930708169937134,-10.023937225341797,-10.023937225341797,1.0
0.0,-175.0,190.0,90.0,103.60395812988281,8.00064468383789,0.0,-13.603959083557129,-5.603314399719238,-13.603959083557129,-13.603959083557129,-8.00064468383789,-5.603314399719238,-8.00064468383789,-8.00064468383789,1.0
0.0,-175.0,195.0,90.0,103.33091735839844,5.968695163726807,0.0,-13.330918312072754,-7.362223148345947,-13.330918312072754,-13.330918312072754,-5.968695163726807,-7.362223148345947,-5.968695163726807,-5.968695163726807,1.0
