0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.1,0.2,0.3,0.4,0.5,0.6,0.111111,0.25,0.428571,0.666667,1,1,0.1,0.2,0.3,0.4,0.5,0.6,0.111111,0.25,0.428571,0.666667,1,1,
0.09,0.16,0.21,0.24,0.25,0.24,0.111111,0.25,0.428571,0.666667,1,0.666667,0.09,0.16,0.21,0.24,0.25,0.24,0.111111,0.25,0.428571,0.666667,1,0.666667,
0.081,0.128,0.147,0.144,0.125,0.096,0.111111,0.25,0.428571,0.666667,1,0.444444,0.081,0.128,0.147,0.144,0.125,0.096,0.111111,0.25,0.428571,0.666667,1,0.444444,
0.0729,0.1024,0.1029,0.0864,0.0625,0.0384,0.111111,0.25,0.428571,0.666667,1,0.296296,0.0729,0.1024,0.1029,0.0864,0.0625,0.0384,0.111111,0.25,0.428571,0.666667,1,0.296296,
0.06561,0.08192,0.07203,0.05184,0.03125,0.01536,0.1,0.2,0.3,0.4,0.5,0.190113,0.06561,0.08192,0.07203,0.05184,0.03125,0.01536,0.1,0.2,0.3,0.4,0.5,0.190113,
0.059049,0.065536,0.050421,0.031104,0.015625,0.006144,0.1,0.2,0.3,0.375,0.333333,0.122155,0.059049,0.065536,0.050421,0.031104,0.015625,0.006144,0.1,0.2,0.3,0.375,0.333333,0.122155,
0.0531441,0.0524288,0.0352947,0.0186624,0.0078125,0.0024576,0.1,0.2,0.3,0.36,0.25,0.0785919,0.0531441,0.0524288,0.0352947,0.0186624,0.0078125,0.0024576,0.1,0.2,0.3,0.36,0.25,0.0785919,
0.0478297,0.041943,0.0247063,0.0111974,0.00390625,0.00098304,0.1,0.2,0.3,0.350649,0.2,0.0506262,0.0478297,0.041943,0.0247063,0.0111974,0.00390625,0.00098304,0.1,0.2,0.3,0.350649,0.2,0.0506262,
