-375,-375,-150,-150,-150,-150,-375,-375,
-450,-450,-450,-450,-450,-450,-450,-450,
-200,-200,-200,-200,-200,-200,-200,-200,
-200,-200,-200,-200,-200,-200,-200,-200,
-200,-200,-200,-200,-200,-200,-200,-200,
-150,-150,75,-150,-150,-150,-150,-150,
-150,-150,-150,75,-150,-150,-150,-150,
75,-150,-150,-150,-150,-150,-150,-150,
-150,75,-150,-150,-150,-150,-150,-150,
-150,-150,-150,-150,-150,75,-150,-150,
-150,-150,-150,-150,75,-150,-150,-150,
-75,-75,-75,-75,-75,-75,-75,-75,
-75,-75,-75,-75,-75,-75,-75,-75,
-150,-150,-150,-150,-150,-150,75,-150,
75,-150,-150,-150,-150,-150,-150,-150,
-150,75,-150,-150,-150,-150,-150,-150,
-150,-150,-150,-150,-150,-150,-150,75,
