-1.62812,-1.59486,0.242832,-1.11596,-0.747266,-1.1635,-2.39195,-1.57058,
-2.53733,-2.60383,-1.37488,-2.73368,-2.36498,-2.78121,-1.00966,-2.6524,
-0.293096,-0.839262,-1.22601,-0.796878,-0.85934,-0.769372,-1.12998,-0.431808,
-0.981156,-1.00894,-0.419615,-0.622368,-0.442192,-0.871619,-1.8183,-0.989107,
-1.73541,-1.16146,-1.36404,-1.59042,-1.70813,-1.36867,-0.0613848,-1.58875,
-1.05356,-1.02031,0.817391,-0.955383,-1.13973,-0.931615,-1.81739,-0.996022,
-0.37416,-0.340907,-0.955383,0.137992,-0.460334,-0.252217,-1.13799,-0.316624,
0.236168,-0.439083,-1.05356,-0.37416,-0.558509,-0.350392,-1.23617,-0.4148,
-0.439083,0.202915,-1.02031,-0.340907,-0.525256,-0.317139,-1.20291,-0.381546,
-0.350392,-0.317139,-0.931615,-0.252217,-0.436566,0.114224,-1.11422,-0.292856,
-0.558509,-0.525256,-1.13973,-0.460334,0.322341,-0.436566,-1.32234,-0.500973,
-0.236168,-0.202915,-0.817391,-0.137992,-0.322341,-0.114224,-1,-0.178631,
-0.236168,-0.202915,-0.817391,-0.137992,-0.322341,-0.114224,-1,-0.178631,
-1.23617,-1.20291,-1.81739,-1.13799,-1.32234,-1.11422,1,-1.17863,
0.236168,-0.439083,-1.05356,-0.37416,-0.558509,-0.350392,-1.23617,-0.4148,
-0.439083,0.202915,-1.02031,-0.340907,-0.525256,-0.317139,-1.20291,-0.381546,
-0.4148,-0.381546,-0.996022,-0.316624,-0.500973,-0.292856,-1.17863,0.178631,
