x,y,color,bgr_mean(1),bgr_mean(2),bgr_mean(3),bgr_var(1),bgr_var(2),bgr_var(3),gt_x,gt_y
0.0008311629062518477,-0.20196913182735443,red,0.0,0.0,131.82898,0.0,0.0,66.87533,-0.3299999999778443,-0.3299999752233742
0.0008311629062518477,-0.20196913182735443,red,0.0,0.0,131.82898,0.0,0.0,66.87533,-0.32999926292076526,-0.3299997167558675
0.0008311629062518477,-0.20196913182735443,red,0.0,0.0,131.82898,0.0,0.0,66.87533,-0.32999926292076526,-0.3299997167558675
0.0008311629062518477,-0.20196913182735443,red,0.0,0.0,131.82898,0.0,0.0,66.87533,-0.3299990210526612,-0.3299996364071121
0.0008311629062518477,-0.20196913182735443,red,0.0,0.0,131.82898,0.0,0.0,66.87533,-0.3299990210526612,-0.3299996364071121
0.0008311629062518477,-0.20196913182735443,red,0.0,0.0,131.82898,0.0,0.0,66.87533,-0.3299990210526612,-0.3299996364071121
0.0008311629062518477,-0.20196913182735443,red,0.0,0.0,131.82898,0.0,0.0,66.87533,-0.3299995770411446,-0.2799999235704326
-0.324783593416214,-0.28285861015319824,red,0.0,0.0,134.59682,0.0,0.0,42.153038,-0.32999901597459175,-0.2799998221760532
-0.324783593416214,-0.28285861015319824,red,0.0,0.0,134.59682,0.0,0.0,42.153038,-0.32999901597459175,-0.2799998221760532
-0.324783593416214,-0.28285861015319824,red,0.0,0.0,134.59682,0.0,0.0,42.153038,-0.32999901597459175,-0.2799998221760532
-0.324783593416214,-0.28285861015319824,red,0.0,0.0,134.59682,0.0,0.0,42.153038,-0.32999901597459175,-0.2799998221760532
-0.324783593416214,-0.28285861015319824,red,0.0,0.0,134.59682,0.0,0.0,42.153038,-0.32999901597459175,-0.2799998221760532
-0.324783593416214,-0.28285861015319824,red,0.0,0.0,134.59682,0.0,0.0,42.153038,-0.3299995117149804,-0.22999998559544463
-0.324783593416214,-0.28285861015319824,red,0.0,0.0,134.59682,0.0,0.0,42.153038,-0.32999901557387523,-0.22999997095895072
-0.324783593416214,-0.28285861015319824,red,0.0,0.0,134.59682,0.0,0.0,42.153038,-0.32999901557387523,-0.22999997095895072
-0.3121635615825653,-0.23059473931789398,red,0.0,0.0,136.20746,0.0,0.0,23.007969,-0.32999901557387523,-0.22999997095895072
-0.3121635615825653,-0.23059473931789398,red,0.0,0.0,136.20746,0.0,0.0,23.007969,-0.32999901557387523,-0.22999997095895072
-0.3121635615825653,-0.23059473931789398,red,0.0,0.0,136.20746,0.0,0.0,23.007969,-0.32999901557387523,-0.22999997095895072
-0.3121635615825653,-0.23059473931789398,red,0.0,0.0,136.20746,0.0,0.0,23.007969,-0.3299993459175129,-0.18000007865230858
-0.3121635615825653,-0.23059473931789398,red,0.0,0.0,136.20746,0.0,0.0,23.007969,-0.3299993459175129,-0.18000007865230858
-0.3121635615825653,-0.23059473931789398,red,0.0,0.0,136.20746,0.0,0.0,23.007969,-0.32999901573652346,-0.1800001183597583
-0.3121635615825653,-0.23059473931789398,red,0.0,0.0,136.20746,0.0,0.0,23.007969,-0.32999901573652346,-0.1800001183597583
-0.3121635615825653,-0.23059473931789398,red,0.0,0.0,136.20746,0.0,0.0,23.007969,-0.32999901573652346,-0.1800001183597583
-0.3257875442504883,-0.18087492883205414,red,0.0,0.0,135.04579,0.0,0.0,36.7995,-0.32999901573652346,-0.1800001183597583
