x,y,color,gt_x,gt_y
-0.3255421221256256,-0.3318292498588562,red,-0.3299995012409432,-0.3299998241786912
-0.3255421221256256,-0.3318292498588562,red,-0.3299990167173556,-0.32999967336378694
-0.3255421221256256,-0.3318292498588562,red,-0.3299995764650712,-0.26999993627716307
-0.3255421221256256,-0.3318292498588562,red,-0.32999901580873514,-0.26999985191780224
-0.3255421221256256,-0.3318292498588562,red,-0.3299995471642131,-0.2100000133601653
-0.3255421221256256,-0.3318292498588562,red,-0.32999901551822447,-0.21000002904558085
-0.3255421221256256,-0.3318292498588562,red,-0.32999950887674245,-0.15000010358245153
-0.3255421221256256,-0.3318292498588562,red,-0.3299990160381746,-0.15000020751864718
-0.3049642741680145,-0.09849372506141663,red,-0.3299994473312528,-0.09000021761509265
-0.3049642741680145,-0.09849372506141663,red,-0.32999897942955114,-0.09000040185311883
-0.3049642741680145,-0.09849372506141663,red,-0.27000228319029473,-0.3299998129393194
-0.3049642741680145,-0.09849372506141663,red,-0.27000416561834323,-0.32999966271077075
-0.3049642741680145,-0.09849372506141663,red,-0.2699995483622977,-0.26999991697731124
-0.3049642741680145,-0.09849372506141663,red,-0.2699991921505436,-0.26999985149633077
-0.3049642741680145,-0.09849372506141663,red,-0.2699995409842116,-0.21000001627716353
-0.3049642741680145,-0.09849372506141663,red,-0.2699991919698781,-0.2100000286445051
-0.24919620156288147,-0.15427818894386292,red,-0.26999953853636477,-0.15000011900254587
-0.24919620156288147,-0.15427818894386292,red,-0.26999919232324465,-0.15000020829534308
-0.24919620156288147,-0.15427818894386292,red,-0.2700024713597084,-0.09000023318802793
-0.24919620156288147,-0.15427818894386292,red,-0.27000425455624555,-0.09000039992183037
-0.24919620156288147,-0.15427818894386292,red,-0.2100026082034262,-0.3299998019802105
-0.24919620156288147,-0.15427818894386292,red,-0.21000441034388662,-0.32999966237310097
-0.24919620156288147,-0.15427818894386292,red,-0.20999965370172022,-0.2699999109503301
