x,y,color,bgr_mean(1),bgr_mean(2),bgr_mean(3),bgr_var(1),bgr_var(2),bgr_var(3),gt_x,gt_y
-0.3255421221256256,-0.3318292498588562,red,0.0,0.0,134.10791,0.0,0.0,47.09489,-0.32999916798815254,-0.32999971344998524
-0.32479381561279297,-0.272304892539978,red,0.0,0.0,134.53845,0.0,0.0,42.95398,-0.3299990158219205,-0.2699998518995245
-0.325764924287796,-0.212485209107399,red,0.0,0.0,135.11063,0.0,0.0,34.84411,-0.32999901553134414,-0.2100000290364192
-0.3283986449241638,-0.1526619791984558,red,0.0,0.0,135.38435,0.0,0.0,30.299164,-0.3299990160512234,-0.15000020750044527
-0.3049642741680145,-0.09849372506141663,red,0.0,0.0,135.8322,0.0,0.0,25.215435,-0.3299990098638883,-0.09000040182564703
-0.2720135450363159,-0.33212125301361084,red,0.0,0.0,133.23157,0.0,0.0,56.041275,-0.2700041656342837,-0.32999966269447417
-0.27206510305404663,-0.27231666445732117,red,0.0,0.0,134.0208,0.0,0.0,39.536697,-0.2699991921656671,-0.2699998514778955
-0.27210578322410583,-0.21249407529830933,red,0.0,0.0,134.39886,0.0,0.0,31.650894,-0.2699991919849568,-0.2100000286259749
-0.2515120804309845,-0.1541738063097,red,0.0,0.0,134.46597,0.0,0.0,31.021965,-0.2699991923382574,-0.15000020827700764
-0.2721550762653351,-0.08929567784070969,red,0.0,0.0,134.5416,0.0,0.0,30.862576,-0.27000425457202293,-0.09000039990541968
-0.2122495174407959,-0.33214470744132996,red,0.0,0.0,132.62665,0.0,0.0,64.53308,-0.21000441035983072,-0.3299996623568354
-0.21228912472724915,-0.27233001589775085,red,0.0,0.0,133.4433,0.0,0.0,46.03176,-0.20999937003260996,-0.2699998510988209
-0.2123194932937622,-0.21249845623970032,red,0.0,0.0,134.70688,0.0,0.0,30.745358,-0.20999936989063364,-0.2100000289347562
-0.19280293583869934,-0.1542780101299286,red,0.0,0.0,134.89078,0.0,0.0,28.624607,-0.21000444043879637,-0.15000021460914373
-0.21235334873199463,-0.08928524702787399,red,0.0,0.0,134.01796,0.0,0.0,36.21792,-0.21000441258719224,-0.09000039779809957
-0.14894919097423553,-0.3321695625782013,red,0.0,0.0,134.212,0.0,0.0,42.573517,-0.1500046269727894,-0.3299996633804763
-0.1489773541688919,-0.2723441421985626,red,0.0,0.0,135.01134,0.0,0.0,29.467648,-0.1500045960668503,-0.2699998473803277
-0.15022113919258118,-0.21249759197235107,red,0.0,0.0,134.13263,0.0,0.0,37.840744,-0.15000462647122936,-0.21000002972589213
-0.15016815066337585,-0.15278981626033783,red,0.0,0.0,134.14682,0.0,0.0,38.712837,-0.15000459473762176,-0.15000021466930785
-0.15024882555007935,-0.08952906727790833,red,0.039697543,0.039697543,134.2197,0.92487234,0.92487234,38.626038,-0.15000060878957927,-0.09000005390028808
-0.08914598077535629,-0.3321930170059204,red,0.0,0.0,133.49887,0.0,0.0,51.114624,-0.0900048121738633,-0.3299996646063641
-0.08916454762220383,-0.2723574936389923,red,0.0,0.0,134.33786,0.0,0.0,37.41054,-0.09000478228221083,-0.26999984839694685
-0.08917758613824844,-0.2125074714422226,red,0.0,0.0,134.75397,0.0,0.0,30.373344,-0.09000481204249242,-0.21000002979309546
-0.08918503671884537,-0.15264827013015747,red,0.0,0.0,134.76418,0.0,0.0,31.199287,-0.09000478149991373,-0.1500002132189956
-0.07869728654623032,-0.09761982411146164,red,0.0,0.0,134.84015,0.0,0.0,31.189941,-0.0900034588684816,-0.09000028583500538
